timestamp,strategy,reason,duration_s,MASE_before,MASE_after,Cov_before,Cov_after
2020-03-05 00:00:00+00:00,Rolling SARIMA,scheduled,204.66268038749695,,,,
2020-03-06 00:00:00+00:00,Rolling SARIMA,scheduled,84.33292603492737,,,,
2020-03-07 00:00:00+00:00,Rolling SARIMA,scheduled,79.23244619369507,,,,
2020-03-08 00:00:00+00:00,Rolling SARIMA,scheduled,68.54641556739807,,,,
2020-03-09 00:00:00+00:00,Rolling SARIMA,scheduled,67.40245866775513,,,,
2020-03-10 00:00:00+00:00,Rolling SARIMA,scheduled,77.83927083015442,,,,
2020-03-11 00:00:00+00:00,Rolling SARIMA,scheduled,75.4866669178009,,,,
2020-03-12 00:00:00+00:00,Rolling SARIMA,scheduled,69.83648157119751,0.5883999787262908,0.4660050969266938,81.54761904761905,53.57142857142857
2020-03-13 00:00:00+00:00,Rolling SARIMA,scheduled,89.02313685417175,0.6005948304681646,0.48015800529421615,81.54761904761905,53.57142857142857
2020-03-14 00:00:00+00:00,Rolling SARIMA,scheduled,67.62237691879272,0.601791887750241,0.4847629740782822,81.54761904761905,52.976190476190474
2020-03-15 00:00:00+00:00,Rolling SARIMA,scheduled,59.868499994277954,0.5897365238703787,0.48213894917985106,81.54761904761905,54.166666666666664
2020-03-16 00:00:00+00:00,Rolling SARIMA,scheduled,70.75153350830078,0.5858449933347487,0.48077546497196905,82.73809523809523,54.166666666666664
2020-03-17 00:00:00+00:00,Rolling SARIMA,scheduled,65.60117745399475,0.5174190629741539,0.47043579888325265,86.30952380952381,52.38095238095239
2020-03-18 00:00:00+00:00,Rolling SARIMA,scheduled,64.46922755241394,0.5127304888362687,0.4706801720506784,86.30952380952381,53.57142857142857
2020-03-19 00:00:00+00:00,Rolling SARIMA,scheduled,67.51446318626404,0.5182220233353062,0.4756750817878115,86.30952380952381,52.38095238095239
2020-03-20 00:00:00+00:00,Rolling SARIMA,scheduled,75.99486064910889,0.5251844234871335,0.4828213686092211,86.30952380952381,52.38095238095239
2020-03-21 00:00:00+00:00,Rolling SARIMA,scheduled,75.77782392501831,0.5528742199006772,0.48390762326098063,86.30952380952381,51.78571428571429
2020-03-22 00:00:00+00:00,Rolling SARIMA,scheduled,73.54983615875244,0.5588564166963902,0.48557401953226725,86.30952380952381,51.19047619047619
2020-03-23 00:00:00+00:00,Rolling SARIMA,scheduled,52.69463014602661,0.5380519609376156,0.48440205844530954,87.5,50.595238095238095
2020-03-24 00:00:00+00:00,Rolling SARIMA,scheduled,60.07900524139404,0.4834850834733118,0.4740105792178018,88.69047619047619,50.0
2020-03-25 00:00:00+00:00,Rolling SARIMA,scheduled,68.83537483215332,0.5237013089432515,0.46633441784938906,88.69047619047619,50.595238095238095
2020-03-26 00:00:00+00:00,Rolling SARIMA,scheduled,71.58184862136841,0.5551040268936644,0.46439143409828176,88.69047619047619,51.19047619047619
2020-03-27 00:00:00+00:00,Rolling SARIMA,scheduled,75.37812352180481,0.5986343213633044,0.46153661706387483,88.69047619047619,50.0
2020-03-28 00:00:00+00:00,Rolling SARIMA,scheduled,73.33929681777954,0.6163781147274989,0.4554335198456962,88.69047619047619,49.404761904761905
2020-03-29 00:00:00+00:00,Rolling SARIMA,scheduled,84.05709099769592,0.5853398516861429,0.44333017831425287,89.88095238095238,50.595238095238095
2020-03-30 00:00:00+00:00,Rolling SARIMA,scheduled,87.54704999923706,0.5498991734114695,0.44524089252667465,90.47619047619048,54.166666666666664
2020-03-31 00:00:00+00:00,Rolling SARIMA,scheduled,103.32961058616638,0.5529673229841897,0.4260956648702136,91.07142857142857,54.166666666666664
2020-04-01 00:00:00+00:00,Rolling SARIMA,scheduled,55.25013732910156,0.5619572615411554,0.42876829375062236,89.28571428571429,54.761904761904766
2020-04-02 00:00:00+00:00,Rolling SARIMA,scheduled,49.42325973510742,0.5516419907669381,0.42503781591882356,89.28571428571429,53.57142857142857
2020-04-03 00:00:00+00:00,Rolling SARIMA,scheduled,65.98050546646118,0.5367826171051854,0.42236661171900786,89.28571428571429,58.333333333333336
2020-04-04 00:00:00+00:00,Rolling SARIMA,scheduled,66.03072953224182,0.5253951770633145,0.4174992225639834,86.30952380952381,61.30952380952381
2020-04-05 00:00:00+00:00,Rolling SARIMA,scheduled,56.77245044708252,0.4906631414569061,0.4093763073098269,86.90476190476191,62.5
2020-04-06 00:00:00+00:00,Rolling SARIMA,scheduled,46.84114360809326,0.47695687295747236,0.40186376426661147,86.90476190476191,61.30952380952381
2020-04-07 00:00:00+00:00,Rolling SARIMA,scheduled,42.89543128013611,0.47481024918214454,0.3974816459614685,85.11904761904762,63.095238095238095
2020-04-08 00:00:00+00:00,Rolling SARIMA,scheduled,54.64766716957092,0.48017774149792014,0.4042420734406784,83.92857142857143,62.5
2020-04-09 00:00:00+00:00,Rolling SARIMA,scheduled,44.81829619407654,0.5173973419586009,0.41129473542340045,81.54761904761905,63.095238095238095
2020-04-10 00:00:00+00:00,Rolling SARIMA,scheduled,92.33461952209473,0.5956729889000131,0.41930367341452063,73.80952380952381,65.47619047619048
2020-04-10 05:00:00+00:00,Rolling SARIMA,drift,67.42417860031128,0.6365810483218328,0.42587907604161024,70.83333333333334,63.69047619047619
2020-04-10 06:00:00+00:00,Rolling SARIMA,drift,79.16319394111633,0.6592824340273638,0.4287382486358794,70.23809523809523,64.28571428571429
2020-04-10 07:00:00+00:00,Rolling SARIMA,drift,67.8474292755127,0.6814337262948663,0.4325982126621395,69.64285714285714,63.095238095238095
