timestamp,y_true,yhat,lo,hi,z_resid,flag_z,flag_cusum
2020-03-05 00:00:00+00:00,50116.0,51241.175935289466,48913.40130485407,53568.95056572486,-0.7410931955722107,0,0
2020-03-05 01:00:00+00:00,49152.0,48786.29635755264,46937.44656390915,50635.146151196124,0.23667951220631414,0,0
2020-03-05 02:00:00+00:00,50296.0,49225.59696216537,46370.709363028946,52080.4845613018,0.6950404700402809,0,0
2020-03-05 03:00:00+00:00,51804.0,50304.70946280298,46711.72028847658,53897.69863712938,0.9710151090792967,0,0
2020-03-05 04:00:00+00:00,54734.0,52980.8917355065,48855.5945634259,57106.1889075871,1.133258800543462,0,0
2020-03-05 05:00:00+00:00,61152.0,58687.560503781875,54185.46753804451,63189.65346951924,1.58850260764823,0,0
2020-03-05 06:00:00+00:00,65641.0,63211.92182679739,58447.050288289865,67976.79336530491,1.5545803612384819,0,0
2020-03-05 07:00:00+00:00,67442.0,65560.82293087781,60614.81654155271,70506.8293202029,1.1920247719188093,0,0
2020-03-05 08:00:00+00:00,68021.0,66156.69267098079,61086.982301585995,71226.40304037558,1.1761668953041233,0,0
2020-03-05 09:00:00+00:00,68795.0,67374.20954395461,62220.64457122134,72527.77451668789,0.8845285513850764,0,1
2020-03-05 10:00:00+00:00,69661.0,68796.3250617119,63586.25962021661,74006.39050320719,0.5222874717710807,0,1
2020-03-05 11:00:00+00:00,68672.0,68822.33424143941,63574.38469618208,74070.28378669675,-0.13412146695071095,0,0
2020-03-05 12:00:00+00:00,68734.0,68085.43605842322,62812.18493511156,73358.68718173489,0.38211969621412123,0,0
2020-03-05 13:00:00+00:00,67790.0,67096.3162473912,61806.220674872995,72386.4118199094,0.4101615943942255,0,0
2020-03-05 14:00:00+00:00,67632.0,66859.9400946442,61558.65895360412,72161.2212356843,0.4587847542320456,0,0
2020-03-05 15:00:00+00:00,68159.0,66512.31206843813,61203.61824916444,71821.00588771181,1.019263580090028,0,0
2020-03-05 16:00:00+00:00,68883.0,68426.78670728093,63113.18843859677,73740.38497596509,0.2505652415839836,0,0
2020-03-05 17:00:00+00:00,70849.0,70920.15180106624,65603.31274334622,76236.99085878626,-0.08961725749396295,0,0
2020-03-05 18:00:00+00:00,70193.0,70230.06896327401,64911.09058890358,75549.04733764444,-0.0675337603790629,0,0
2020-03-05 19:00:00+00:00,65964.0,66489.83389919023,61169.44442499713,71810.22337338333,-0.3818767614157192,0,0
2020-03-05 20:00:00+00:00,62459.0,63553.54218790873,58232.22251914756,68874.8618566699,-0.7461414616722719,0,0
2020-03-05 21:00:00+00:00,59111.0,61009.341708648586,55687.40914994457,66331.2742673526,-1.2571866753698369,0,0
2020-03-05 22:00:00+00:00,55070.0,56988.03116960832,51665.6949372884,62310.36740192825,-1.26492374877314,0,0
2020-03-05 23:00:00+00:00,51458.0,54232.804970419165,48910.20293880661,59555.40700203172,-1.8016192519846475,0,0
2020-03-06 00:00:00+00:00,49208.0,51218.259022643004,45895.48201391906,56541.036031366944,-1.3055136425974592,0,0
2020-03-06 01:00:00+00:00,48539.0,48603.540102398074,46754.690475505246,50452.3897292909,-0.06662224371968933,0,0
2020-03-06 02:00:00+00:00,49116.0,49635.69228838277,46761.69945487033,52509.685121895214,-0.3547178741803061,0,0
2020-03-06 03:00:00+00:00,50770.0,51209.05704991695,47580.046064931885,54838.06803490201,-0.30137177830605594,0,0
2020-03-06 04:00:00+00:00,54176.0,54144.24378640304,49965.29300210491,58323.19457070118,-0.0010904010518299112,0,0
2020-03-06 05:00:00+00:00,61719.0,60123.07979770162,55547.4775626922,64698.68203271104,0.9930916983450012,0,0
2020-03-06 06:00:00+00:00,67220.0,64569.78967931797,59709.707293062434,69429.87206557351,1.6532706329739992,0,0
2020-03-06 07:00:00+00:00,69128.0,66798.75783121045,61735.224549423285,71862.2911129976,1.4421219956779043,0,0
2020-03-06 08:00:00+00:00,69735.0,67942.94650536517,62734.08401227945,73151.80899845088,1.0961816258124495,0,0
2020-03-06 09:00:00+00:00,70984.0,69303.94229405215,63991.294459462115,74616.59012864219,1.0206799489652185,0,0
2020-03-06 10:00:00+00:00,71570.0,70546.91699392386,65160.13474262412,75933.69924522362,0.6042538897055042,0,0
2020-03-06 11:00:00+00:00,71020.0,69665.87255867656,64226.111667258425,75105.63345009471,0.8097150350632657,0,0
2020-03-06 12:00:00+00:00,70019.0,68835.04757931108,63357.40673604516,74312.688422577,0.6979211900848014,0,0
2020-03-06 13:00:00+00:00,68489.0,67342.49223022744,61837.75316867928,72847.23129177559,0.6720031166132581,0,0
2020-03-06 14:00:00+00:00,67437.0,66583.00177896468,61058.86849247257,72107.1350654568,0.4849711877436632,0,0
2020-03-06 15:00:00+00:00,66437.0,66094.41729158525,60556.398059049694,71632.43652412081,0.16251304214565018,0,0
2020-03-06 16:00:00+00:00,66909.0,67268.69002113638,61720.725437690984,72816.65460458178,-0.28054297142003304,0,0
2020-03-06 17:00:00+00:00,68216.0,69229.88470462567,63674.79521937425,74784.97418987709,-0.6916823190621035,0,0
2020-03-06 18:00:00+00:00,66548.0,68140.21410220959,62580.0192384743,73700.40896594488,-1.0511643839374016,0,0
2020-03-06 19:00:00+00:00,62293.0,64053.300394828315,58489.446657661065,69617.15413199557,-1.1522119321242048,0,0
2020-03-06 20:00:00+00:00,58887.0,60623.47099997355,55056.994729261765,66189.94727068534,-1.1334984097014618,0,0
2020-03-06 21:00:00+00:00,56183.0,57804.88440521606,52236.52822869527,63373.24058173684,-1.057376451893582,0,0
